Index,StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,TotPkts,TotBytes,SrcBytes,IsAnomaly
0,46.59.06,1.026539,tcp,94.44.127.113,1577,   ->,147.32.84.59,6881,S_RA,4,276,156,0
1,47.00.06,1.009595,tcp,94.44.127.113,1577,   ->,147.32.84.59,6881,S_RA,4,276,156,0
2,47.48.02,3.056586,tcp,147.32.86.89,4768,   ->,77.75.73.33,80,SR_A,3,182,122,1
3,47.48.02,3.111769,tcp,147.32.86.89,4788,   ->,77.75.73.33,80,SR_A,3,182,122,1
4,47.49.00,3.083411,tcp,147.32.86.89,4850,   ->,77.75.73.33,80,SR_A,3,182,122,1
5,47.58.08,3.097288,tcp,147.32.86.89,4866,   ->,77.75.73.33,80,SR_A,3,182,122,1
6,51.34.04,1.048908,tcp,213.200.244.217,47908,   ->,147.32.84.59,6881,S_RA,4,244,124,0
7,54.55.02,4.373526,tcp,75.105.28.60,1419,   ->,147.32.84.59,6881,S_RA,4,252,132,0
8,57.13.04,4.827912,tcp,75.105.28.60,1491,   ->,147.32.84.59,6881,S_RA,4,252,132,0
9,58.43.03,0.049697,tcp,178.111.79.115,41752,   ->,147.32.84.229,13363,SR_SA,5,352,208,0
10,54.09.07,328.361664,tcp,147.32.84.59,49185,   ->,147.32.80.7,80,SRPA_SPA,7,760,520,0
11,0.34.09,5.242459,tcp,75.105.28.60,1586,   ->,147.32.84.59,6881,S_RA,4,252,132,0
12,1.16.03,0.97239,tcp,89.31.40.106,28451,   ->,147.32.84.59,6881,S_RA,4,244,124,0
13,6.19.07,0.923098,tcp,89.31.40.106,13717,   ->,147.32.84.59,6881,S_RA,4,244,124,0
14,7.41.05,1.009763,tcp,188.112.70.72,1817,   ->,147.32.84.59,6881,S_RA,4,244,124,0
15,8.18.05,0.969967,tcp,85.248.56.40,42480,   ->,147.32.84.59,6881,S_RA,4,244,124,0
16,9.36.08,2.853907,tcp,41.188.145.202,2285,   ->,147.32.84.229,13363,SR_SA,3,184,122,0
17,9.38.04,2.948305,tcp,41.188.145.202,2288,   ->,147.32.84.229,443,SR_SA,3,184,122,0
18,9.40.00,2.956415,tcp,41.188.145.202,2291,   ->,147.32.84.229,80,SR_SA,3,184,122,0
19,9.44.04,0.920374,tcp,89.31.40.106,39927,   ->,147.32.84.59,6881,S_RA,4,244,124,0
20,9.39.06,6.031078,tcp,41.188.145.202,2285,   ->,147.32.84.229,13363,SR_SA,3,184,122,0
21,9.41.03,6.035653,tcp,41.188.145.202,2288,   ->,147.32.84.229,443,SR_SA,3,184,122,0
22,9.42.09,6.028175,tcp,41.188.145.202,2291,   ->,147.32.84.229,80,SR_SA,3,184,122,0
23,9.51.04,0.0,tcp,147.32.84.59,6881,   ?>,188.112.70.72,1904,RA_,1,60,60,1
24,9.57.06,1.383731,tcp,213.24.237.172,15007,   ->,147.32.84.109,4899,S_RA,4,244,124,1
25,10.53.06,0.939583,tcp,85.248.56.40,42572,   ->,147.32.84.59,6881,S_RA,4,244,124,0
26,13.28.09,3.015055,tcp,69.231.198.54,4144,   ->,147.32.86.179,80,SR_SA,3,184,122,0
27,13.31.07,0.987838,tcp,188.112.70.72,2057,   ->,147.32.84.59,6881,S_RA,4,244,124,0
28,13.42.09,1.41955,tcp,95.153.177.13,35049,   ->,147.32.84.59,6881,S_RA,4,244,124,0
29,13.47.03,3.024265,tcp,69.231.198.54,4154,   ->,147.32.86.179,58675,SR_SA,3,184,122,0
30,14.06.06,0.99076,tcp,85.248.56.40,42650,   ->,147.32.84.59,6881,S_RA,4,244,124,0
31,14.08.03,2.92324,tcp,69.231.198.54,4168,   ->,147.32.86.179,58675,SR_SA,3,184,122,0
32,14.08.03,2.91654,tcp,69.231.198.54,4177,   ->,147.32.86.179,443,SR_SA,3,184,122,0
33,17.08.02,2.923881,tcp,147.32.86.141,4303,   ->,77.75.73.158,80,SR_A,3,186,126,1
34,19.33.01,2.716508,tcp,77.63.127.195,2242,   ->,147.32.84.229,13363,SR_SA,3,184,122,0
35,19.34.00,2.995193,tcp,77.63.127.195,2246,   ->,147.32.84.229,443,SR_SA,3,184,122,0
36,19.35.08,2.775121,tcp,77.63.127.195,2247,   ->,147.32.84.229,80,SR_SA,3,184,122,0
37,19.35.08,5.507932,tcp,77.63.127.195,2242,   ->,147.32.84.229,13363,SR_SA,3,184,122,0
38,19.37.00,5.920043,tcp,77.63.127.195,2246,   ->,147.32.84.229,443,SR_SA,3,184,122,0
39,19.38.06,5.910242,tcp,77.63.127.195,2247,   ->,147.32.84.229,80,SR_SA,3,184,122,0
40,52.35.01,1713.705688,tcp,147.32.84.59,49157,   ->,147.32.80.7,80,SRPA_FSPA,12,2636,638,0
41,52.35.01,1713.706299,tcp,147.32.84.59,49156,   ->,147.32.80.7,80,SRPA_FSPA,12,2636,638,0
42,52.35.07,1713.303589,tcp,147.32.84.59,49159,   ->,213.199.181.90,80,FSRPA_FSPA,11,1080,517,0
43,55.29.03,1575.188477,tcp,147.32.84.59,49290,   ->,209.85.148.103,80,FSA_FSA,6,372,246,0
44,55.29.03,1575.188477,tcp,147.32.84.59,49291,   ->,209.85.148.103,80,FSA_FSA,6,372,246,0
45,54.58.02,1627.699951,tcp,147.32.84.59,49236,   ->,74.125.232.223,443,FSRPA_FSPA,15,3250,879,0
46,22.24.09,0.867477,tcp,147.32.84.59,4947,   ->,60.50.59.206,6881,S_R,2,122,62,0
47,22.25.08,0.804757,tcp,147.32.84.59,4947,   ->,60.50.59.206,6881,S_R,2,122,62,0
48,55.05.06,1644.362549,tcp,147.32.84.59,49255,   ->,74.125.232.223,443,FSRPA_FSPA,19,3938,1221,0
49,24.40.08,0.743487,tcp,147.32.84.59,1138,   ->,60.50.59.206,6881,S_R,2,122,62,0
50,24.41.06,0.804788,tcp,147.32.84.59,1138,   ->,60.50.59.206,6881,S_R,2,122,62,0
51,6.29.07,1164.148438,tcp,147.32.84.59,1652,   ->,147.32.80.13,80,FSA_FSA,7,422,242,0
52,27.48.09,0.822438,tcp,147.32.84.59,1293,   ->,60.50.59.206,6881,S_R,2,122,62,0
53,27.49.07,0.805074,tcp,147.32.84.59,1293,   ->,60.50.59.206,6881,S_R,2,122,62,0
54,29.20.05,7.01955,tcp,87.96.93.53,50615,   ->,147.32.84.229,443,SRA_SA,14,966,480,0
55,29.19.00,10.960881,tcp,87.96.93.53,50608,   ->,147.32.84.229,13363,SRA_SA,16,1094,542,0
56,21.18.01,624.185059,tcp,147.32.84.94,38362,   ->,147.32.80.13,80,SRPA_FSPA,36,17444,14545,0
57,31.42.06,1.105143,tcp,87.194.121.107,50625,   ->,147.32.84.229,13363,SR_SA,3,216,138,0
58,31.43.07,1.176815,tcp,87.194.121.107,50625,   ->,147.32.84.229,13363,SR_SA,3,216,138,0
59,31.44.02,1.179336,tcp,87.194.121.107,50632,   ->,147.32.84.229,443,SR_SA,3,216,138,0
60,31.44.09,0.930998,tcp,87.194.121.107,50625,   ->,147.32.84.229,13363,SR_SA,3,216,138,0
61,31.45.04,1.020092,tcp,87.194.121.107,50632,   ->,147.32.84.229,443,SR_SA,3,216,138,0
62,31.45.09,1.058433,tcp,87.194.121.107,50639,   ->,147.32.84.229,80,SR_SA,3,216,138,0
63,31.46.04,0.990229,tcp,87.194.121.107,50632,   ->,147.32.84.229,443,SR_SA,3,216,138,0
64,31.46.09,1.009045,tcp,87.194.121.107,50639,   ->,147.32.84.229,80,SR_SA,3,216,138,0
65,31.45.08,2.11905,tcp,87.194.121.107,50625,   ->,147.32.84.229,13363,SR_SA,3,216,138,0
66,31.47.04,1.009344,tcp,87.194.121.107,50632,   ->,147.32.84.229,443,SR_SA,3,216,138,0
67,31.47.09,1.008251,tcp,87.194.121.107,50639,   ->,147.32.84.229,80,SR_SA,3,216,138,0
68,31.48.04,1.010848,tcp,87.194.121.107,50632,   ->,147.32.84.229,443,SR_SA,3,216,138,0
69,31.47.09,2.0721,tcp,87.194.121.107,50625,   ->,147.32.84.229,13363,SR_SA,3,216,138,0
70,31.48.09,2.016286,tcp,87.194.121.107,50639,   ->,147.32.84.229,80,SR_SA,3,216,138,0
71,31.49.04,2.021773,tcp,87.194.121.107,50632,   ->,147.32.84.229,443,SR_SA,3,216,138,0
72,31.50.09,2.045057,tcp,87.194.121.107,50639,   ->,147.32.84.229,80,SR_SA,3,216,138,0
73,31.50.00,3.961982,tcp,87.194.121.107,50625,   ->,147.32.84.229,13363,SR_SA,3,216,138,0
74,32.48.00,6.207733,tcp,147.32.84.59,1598,   ->,201.222.96.178,6881,S_R,3,184,124,0
75,33.16.09,9.067471,tcp,178.23.90.30,57207,   ->,147.32.84.229,443,SR_SA,7,430,184,0
76,33.18.05,9.016273,tcp,178.23.90.30,57208,   ->,147.32.84.229,80,SR_SA,7,430,184,0
77,22.39.07,737.728821,tcp,147.32.84.59,52715,   ->,74.125.232.217,80,SRPA_FSPA,21,4759,1714,0
78,35.09.01,5.224095,tcp,147.32.84.59,1826,   ->,201.222.96.178,6881,S_R,3,184,124,0
79,35.24.05,2.172537,tcp,119.160.216.170,54757,   ->,147.32.84.189,51413,S_RA,4,252,132,1
80,21.09.03,864.827332,tcp,147.32.84.59,49160,   ->,213.199.181.90,80,FSRPA_FSPA,11,1080,517,0
81,35.38.03,9.069366,tcp,92.40.254.28,3400,   ->,147.32.84.229,13363,SRA_SA,7,450,192,0
82,36.45.05,1.154592,tcp,66.110.137.168,14196,   ->,147.32.84.59,6881,S_RA,4,244,124,0
